year_month,growth_label_top30,stores,avg_order_count,avg_sales_amount,avg_review_count,avg_reply_rate,avg_growth_alpha
2025-01,0,1148,11.825784,361142.682927,7.132404,0.411863,-0.046623
2025-01,1,98,159.153061,4785612.244898,13.846939,0.372532,0.546162
2025-02,0,904,20.627212,615232.522124,8.329646,0.419719,-0.307065
2025-02,1,342,27.099415,805783.333333,11.859649,0.371496,0.811656
2025-03,0,937,8.86873,263367.129136,7.745998,0.395222,-0.227111
2025-03,1,309,75.488673,2217109.708738,11.744337,0.395527,0.688683
2025-04,0,992,9.408266,280258.467742,8.278226,0.389584,-1.234675
2025-04,1,254,85.051181,2463928.346457,11.964567,0.429263,4.822037
2025-05,0,909,36.10121,1041160.506051,6.091309,0.364964,-0.224711
2025-05,1,337,218.878338,6133975.37092,16.412463,0.430349,0.606118
2025-06,0,643,169.017107,4877353.965785,7.816485,0.370642,-0.952729
2025-06,1,603,199.615257,4943682.752902,9.888889,0.55347,1.015929
2025-07,0,633,46.410742,1187625.118483,9.92891,0.487369,-1.416708
2025-07,1,613,184.982055,4470857.748777,18.179445,0.704418,1.46293
2025-08,0,762,157.064304,4134161.942257,11.604987,0.639822,-0.606676
2025-08,1,484,249.084711,6254874.979339,19.555785,0.7039,0.955138
2025-09,0,921,211.411509,5338142.258415,13.309446,0.703984,-6.498092
2025-09,1,325,219.670769,5716281.076923,18.289231,0.648342,18.414592
